"effectID","coder","Authors","documentType","document PY","document title","abstract","StudyYear","ExclusionReasonLSR","Notes_ExclusionReasonLSR","page","EffectNumber","statistical_technique","dependent_variable","study_design","coefficient","effect_direction","coefficient_sd","coefficient_sd_type","Notes: Coefficient","baselineConsumption","Notes_baselineConsumption","PercentageChange","control_mean","control_sample_size","control_sd","treated_mean","treatment_sample_size","treated_sd","total_sample_size","diff_mean","uncertaintyMeasuresMissing","pooled_sd","p_value","significance_bound","significance_test","test_statistic","effect test_tails","Notes: Difference of means","Notes: Sample size","Notes: Doc level","Notes: Significance","Notes: Uncertainty","controls Electricity use","controls Energy prices","controls Environmental attitudes","controls HH controls (demographics)","controls None - base model","controls Residence controls","controls Seasonal controls","controls Weather controls","geographic_scope","geographic_location","Notes: Study scope","city","state","country","Randomisation method","smart_metering","randomisation_dummy","Opt_in_out","outOfSampleBias","reportingBiases","Notes_Biases","interventionDuration","interventionTreatmentPeriod","Notes_interventionDuration","interventionFollowup","framing_unit","medium","informationFrequency","Awareness Campaign","Bills","Commitment strategies","Competition","Critical Peak Pricing","Dynamic Pricing","Gamification","Goal Setting","Historical","Home audits","Home Energy Report","In home display","Injunctive Norm / Social Norm","Moral suasion","Peak Load Pricing","peer comparison","Real-time Pricing","Rewards","tips","ToU","AdditionalIntervention","Smart Metering","Notes_interventionType","multicoded","EffectSizeExclusion","EffectSizeExlusionReason","issuesToResolve","issuesResolvedDoubleChecking","knownUnresolvableIssues","dateCodingCompleted","control","documentID","r_coefficient","smd1","smd2","smd","zi","var_r1","var_r2","var_r","var_smd","vi","ConfounderPossibility","ConfounderAll","ConfounderJustifiedOmission","ConfounderAccuracy","ConfounderAnalysis","SampleExchangeability","SampleExclusion","SampleGroupComparability","SampleGroupDifferenceIntervention","SampleBiasAdjustment","AwareofStudy","DataSelective","DataSubgroups","DataCausal","StatsRecording","StatsDescriptiveError","StatsInferentialError","StatsInferentialViolation","cat_criterion1","cat_criterion2","cat_criterion5","cat_criterion6","cat_criterion7","randomisation_level","ElectricityUse","ElectricityPrice","EnvironmentAttitudes","HouseholdType","ResidenceType","Season","Weather","Region","StatsMethod","StudyDesign","Control","BaselineConsumption","InterventionDuration","Randomisation","After2000","Followup","Geographic_Scope","InterventionID","cat_criteria_sum"
"23-001-1","Jorge","Qin, Botao; Chen, Haoyan","Peer-Reviewed Paper",2021,"Does the nudge effect persist? Evidence from a field experiment using social comparison message in China","We designed and carried out a field experiment in which we imposed social comparison incentives and technical recommendations on student dormitories through electricity consumption reports and energy-saving suggestionsmaterials, respectively. Our findings are as follows: (1) Regression results on all users show that the effect of social norms is not statistically significant. (2) A social comparison message has a heterogeneous effect on consumers’ energy use. Low- and high-energy users reduced their electricity consumption by 26% and 14%, respectively, in the first week after the treatment. (3) The effect of social norms is time sensitive.",2021,"NA",NA,"7",1,"Household and time fixed effects","Week electricity consumption (kWh)","Difference in Difference",0.38,-1,0.878,"robust standard errors",NA,"11.36","This is the average consumption for the control group for the 6 week treatment period. Similarly, for the treatment group only averages for the treatment period are provided, so they are already affected by the treatment.",3.34507042253521,NA,193,NA,NA,192,NA,574,0,"uncertainty measures available",NA,0.1,"upper bound","t-test",0.432801822323462,NA,NA,"To compute the effect of each treatment, all the observations are used, so the ""control group"" for Treatment1 would be Control+Treatment2, and likewise for T2.",NA,"Test statistic is computed manually, it isn't reported",NA,0,0,0,0,1,0,0,0,"Smaller than municipality","Xi’an Jiaotong University, China","Dorms in a university","Xi’an","Shaanxi","China","NA","No","yes","No","Probably Yes","Probably No","Female university students living in one dorm in one university. Not representative of any bigger population.","8","6","Two weeks of pre-intervention gathering of data","no","Energy (kWh)","in-person","one time only",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/08/2023",NA,"23-001",0.0180618521489594,NA,NA,0.036129598067116,0.018063816642538,0.00174406220841228,0.770884,0.00174406220841228,0.0103913757405489,0.00175131348511384,"Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","1","2","3","2","2","randomised",0,0,0,0,0,0,"0","Asia","PanelEffects","DID",1,"11.36","8","Yes","After",1,"Macro",1,"medium"
"23-001-2","Jorge","Qin, Botao; Chen, Haoyan","Peer-Reviewed Paper",2021,"Does the nudge effect persist? Evidence from a field experiment using social comparison message in China","We designed and carried out a field experiment in which we imposed social comparison incentives and technical recommendations on student dormitories through electricity consumption reports and energy-saving suggestionsmaterials, respectively. Our findings are as follows: (1) Regression results on all users show that the effect of social norms is not statistically significant. (2) A social comparison message has a heterogeneous effect on consumers’ energy use. Low- and high-energy users reduced their electricity consumption by 26% and 14%, respectively, in the first week after the treatment. (3) The effect of social norms is time sensitive.",2021,"NA",NA,"7",2,"Household and time fixed effects","Week electricity consumption (kWh)","Difference in Difference",0.346,-1,0.915,"robust standard errors",NA,"11.36","This is the average consumption for the control group for the 6 week treatment period. Similarly, for the treatment group only averages for the treatment period are provided, so they are already affected by the treatment.",3.04577464788732,NA,193,NA,NA,189,NA,574,0,"uncertainty measures available",NA,0.1,"upper bound","t-test",0.378142076502732,NA,NA,"To compute the effect of each treatment, all the observations are used, so the ""control group"" for Treatment1 would be Control+Treatment2, and likewise for T2.",NA,"Test statistic is computed manually, it isn't reported",NA,0,0,0,0,1,0,0,0,"Smaller than municipality","Xi’an Jiaotong University, China","Dorms in a university","Xi’an","Shaanxi","China","NA","No","yes","No","Probably Yes","Probably No","Female university students living in one dorm in one university. Not representative of any bigger population.","8","6","Two weeks of pre-intervention gathering of data","no","Energy (kWh)","in-person","one time only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/08/2023",NA,"23-001",0.0157813797641657,NA,NA,0.0315666906459967,0.0157826900877614,0.00174433151506518,0.837225,0.00174433151506518,0.0104736567029899,0.00175131348511384,"Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","1","2","3","2","2","randomised",0,0,0,0,0,0,"0","Asia","PanelEffects","DID",1,"11.36","8","Yes","After",1,"Macro",2,"medium"
"23-001-3","Jorge","Qin, Botao; Chen, Haoyan","Peer-Reviewed Paper",2021,"Does the nudge effect persist? Evidence from a field experiment using social comparison message in China","We designed and carried out a field experiment in which we imposed social comparison incentives and technical recommendations on student dormitories through electricity consumption reports and energy-saving suggestionsmaterials, respectively. Our findings are as follows: (1) Regression results on all users show that the effect of social norms is not statistically significant. (2) A social comparison message has a heterogeneous effect on consumers’ energy use. Low- and high-energy users reduced their electricity consumption by 26% and 14%, respectively, in the first week after the treatment. (3) The effect of social norms is time sensitive.",2021,"NA",NA,"7",3,"Random effects regression","Week electricity consumption (kWh)","Difference in Difference",0.339,-1,0.474,"robust standard errors",NA,"11.36","This is the average consumption for the control group for the 6 week treatment period. Similarly, for the treatment group only averages for the treatment period are provided, so they are already affected by the treatment.",2.98415492957746,NA,193,NA,NA,192,NA,574,0,"uncertainty measures available",NA,0.1,"upper bound","t-test",0.715189873417722,NA,NA,"To compute the effect of each treatment, all the observations are used, so the ""control group"" for Treatment1 would be Control+Treatment2, and likewise for T2.",NA,"Test statistic is computed manually, it isn't reported",NA,0,0,0,0,1,0,0,0,"Smaller than municipality","Xi’an Jiaotong University, China","Dorms in a university","Xi’an","Shaanxi","China","NA","No","yes","No","Probably Yes","Probably No","Female university students living in one dorm in one university. Not representative of any bigger population.","8","6","Two weeks of pre-intervention gathering of data","no","Energy (kWh)","in-person","one time only",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/08/2023",NA,"23-001",0.0298381569917839,NA,NA,0.0597028971124393,0.0298470168507825,0.00174209452257689,0.224676,0.00174209452257689,0.0103943096211555,0.00175131348511384,"Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","1","2","3","2","2","randomised",0,0,0,0,0,0,"0","Asia","PanelEffects","DID",1,"11.36","8","Yes","After",1,"Macro",3,"medium"
"23-001-4","Jorge","Qin, Botao; Chen, Haoyan","Peer-Reviewed Paper",2021,"Does the nudge effect persist? Evidence from a field experiment using social comparison message in China","We designed and carried out a field experiment in which we imposed social comparison incentives and technical recommendations on student dormitories through electricity consumption reports and energy-saving suggestionsmaterials, respectively. Our findings are as follows: (1) Regression results on all users show that the effect of social norms is not statistically significant. (2) A social comparison message has a heterogeneous effect on consumers’ energy use. Low- and high-energy users reduced their electricity consumption by 26% and 14%, respectively, in the first week after the treatment. (3) The effect of social norms is time sensitive.",2021,"NA",NA,"7",4,"Random effects regression","Week electricity consumption (kWh)","Difference in Difference",0.244,-1,0.476,"robust standard errors",NA,"11.36","This is the average consumption for the control group for the 6 week treatment period. Similarly, for the treatment group only averages for the treatment period are provided, so they are already affected by the treatment.",2.14788732394366,NA,193,NA,NA,189,NA,574,0,"uncertainty measures available",NA,0.1,"upper bound","t-test",0.512605042016807,NA,NA,"To compute the effect of each treatment, all the observations are used, so the ""control group"" for Treatment1 would be Control+Treatment2, and likewise for T2.",NA,"Test statistic is computed manually, it isn't reported",NA,0,0,0,0,1,0,0,0,"Smaller than municipality","Xi’an Jiaotong University, China","Dorms in a university","Xi’an","Shaanxi","China","NA","No","yes","No","Probably Yes","Probably No","Female university students living in one dorm in one university. Not representative of any bigger population.","8","6","Two weeks of pre-intervention gathering of data","no","Energy (kWh)","in-person","one time only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/08/2023",NA,"23-001",0.0213908255142908,NA,NA,0.0427914421335384,0.0213940889918812,0.00174360396952107,0.226576,0.00174360396952107,0.0104747491788558,0.00175131348511384,"Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","1","2","3","2","2","randomised",0,0,0,0,0,0,"0","Asia","PanelEffects","DID",1,"11.36","8","Yes","After",1,"Macro",4,"medium"
"23-002-1","Jorge","Lee, M; Kim, D",NA,2021,"Nudging down household electricity usage during peak hours with small monetary rewards",NA,2021,"NA",NA,"8",1,"Inverse Probability Weighting","Electricity consumption in event-hour (kWh)","Pre-test/post-test",0.095,-1,0.012,"clustered standard errors","This is the AT(E)T. ATE is also reported and could be coded (see p. 13)","0.44400000000000001","This is a ""counterfactual consumption"" estimated from non-event hours",21.44,NA,1817,NA,NA,597,NA,1817,0,"uncertainty measures available",NA,0.01,"lower bound","t-test",7.91666666666667,"2",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,"State","Gangwon Province, South Korea",NA,"Chuncheon, Wonju","Gwangon","South Korea","NA","Yes","no","Yes","Probably Yes","Probably No","Self-selection bias twice: opt-in + event (active participants)","52","52",NA,NA,"Energy (kWh)","app","weekly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"Once a week, the project administrator selects a peak event hour.f An in-app message (“invitation”) goes out to all the households enrolled in the project the day before the event. A household may accept the invitation by pressing a button on the smartphone app or may ignore the invitation. Only those who “accept” the invitation are eligible for any reward from the event. We will refer to those who accept the invitation as “active participants” and the rest as “inactive participants.” Active participants are provided by their own typical usage for the event hour and the target usage, which is set at the 90% of their own typical usage. If the targets are met, the active participants receive Electricity Piggy Bank points which can be donated to a charity or used like cash in a local supermarket. The value of the awarded points for each event is 1,000 Korean wons (about one U.S. dollar). Our data include 47 of such events.",NA,NA,NA,"This is a Demand Response intervention reported as savings in an event-hour. It is similar to Critical Peak Pricing, but this is a reward, not a pricing mechanism and thus my opinion is that it pertinent to include it in Behavioural Interventions and not Dynamic Pricing (as a matter of fact, we excluded it from DP because the monetary incentive size could not be computed, since it wasn't a pricing mechanism), but this should be reviewed at the end of the coding process probably",NA,NA,"09/08/2023",NA,"23-002",0.182600152984799,NA,NA,0.371445320338466,0.184671214389961,0.000514551823584803,0.000144,0.000514551823584803,0.00225397699589727,0.000551267916207277,"Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","3","2","3","2","2","not randomised",0,0,0,0,0,0,"0","Asia","PanelEffects","PrePost",1,"0.44400000000000001","52","Yes","After",0,"Macro",5,"high"
"23-002-2","Jorge","Lee, M; Kim, D",NA,2021,"Nudging down household electricity usage during peak hours with small monetary rewards",NA,2021,"NA",NA,"8",2,"Inverse Probability Weighting Regression Adjustment","Electricity consumption in event-hour (kWh)","Pre-test/post-test",0.094,-1,0.012,"clustered standard errors","This is the AT(E)T. ATE is also reported and could be coded (see p. 13)","0.443","This is a ""counterfactual consumption"" estimated from non-event hours",21.28,NA,1817,NA,NA,597,NA,1817,0,"uncertainty measures available",NA,0.01,"lower bound","t-test",7.83333333333333,"2",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,"State","Gangwon Province, South Korea",NA,"Chuncheon, Wonju","Gwangon","South Korea","NA","Yes","no","Yes","Probably Yes","Probably No","Self-selection bias twice: opt-in + event (active participants)","52","52",NA,NA,"Energy (kWh)","app","weekly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"Once a week, the project administrator selects a peak event hour.f An in-app message (“invitation”) goes out to all the households enrolled in the project the day before the event. A household may accept the invitation by pressing a button on the smartphone app or may ignore the invitation. Only those who “accept” the invitation are eligible for any reward from the event. We will refer to those who accept the invitation as “active participants” and the rest as “inactive participants.” Active participants are provided by their own typical usage for the event hour and the target usage, which is set at the 90% of their own typical usage. If the targets are met, the active participants receive Electricity Piggy Bank points which can be donated to a charity or used like cash in a local supermarket. The value of the awarded points for each event is 1,000 Korean wons (about one U.S. dollar). Our data include 47 of such events.",NA,NA,NA,"This is a Demand Response intervention reported as savings in an event-hour. It is similar to Critical Peak Pricing, but this is a reward, not a pricing mechanism and thus my opinion is that it pertinent to include it in Behavioural Interventions and not Dynamic Pricing (as a matter of fact, we excluded it from DP because the monetary incentive size could not be computed, since it wasn't a pricing mechanism), but this should be reviewed at the end of the coding process probably",NA,NA,"09/08/2023",NA,"23-002",0.180741159248401,NA,NA,0.367535369598061,0.182748771274806,0.000515271158342898,0.000144,0.000515271158342898,0.00225337853315995,0.000551267916207277,"Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","3","2","3","2","2","not randomised",0,0,0,0,0,0,"0","Asia","PanelEffects","PrePost",1,"0.443","52","Yes","After",0,"Macro",6,"high"
"23-002-3","Jorge","Lee, M; Kim, D",NA,2021,"Nudging down household electricity usage during peak hours with small monetary rewards",NA,2021,"NA",NA,"8",3,"Propensity Score Matching","Electricity consumption in event-hour (kWh)","Difference in Difference",0.093,-1,0.004,"standard error","This is the AT(E)T. ATE is also reported and could be coded (see p. 13)","0.442","This is a ""counterfactual consumption"" estimated from non-event hours",21.06,NA,1220,NA,NA,597,NA,1817,0,"uncertainty measures available",NA,0.01,"lower bound","t-test",23.25,"2",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,"State","Gangwon Province, South Korea",NA,"Chuncheon, Wonju","Gwangon","South Korea","NA","Yes","no","Yes","Probably Yes","Probably No","Self-selection bias twice: opt-in + event (active participants)","52","52",NA,NA,"Energy (kWh)","app","weekly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"Once a week, the project administrator selects a peak event hour.f An in-app message (“invitation”) goes out to all the households enrolled in the project the day before the event. A household may accept the invitation by pressing a button on the smartphone app or may ignore the invitation. Only those who “accept” the invitation are eligible for any reward from the event. We will refer to those who accept the invitation as “active participants” and the rest as “inactive participants.” Active participants are provided by their own typical usage for the event hour and the target usage, which is set at the 90% of their own typical usage. If the targets are met, the active participants receive Electricity Piggy Bank points which can be donated to a charity or used like cash in a local supermarket. The value of the awarded points for each event is 1,000 Korean wons (about one U.S. dollar). Our data include 47 of such events.",NA,NA,NA,"This is a Demand Response intervention reported as savings in an event-hour. It is similar to Critical Peak Pricing, but this is a reward, not a pricing mechanism and thus my opinion is that it pertinent to include it in Behavioural Interventions and not Dynamic Pricing (as a matter of fact, we excluded it from DP because the monetary incentive size could not be computed, since it wasn't a pricing mechanism), but this should be reviewed at the end of the coding process probably",NA,NA,"09/08/2023",NA,"23-002",0.478841022797057,NA,NA,1.09087625657297,0.521479416741426,0.000327090236364225,1.6e-05,0.000327090236364225,0.00282217988698383,0.000551267916207277,"Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","3","2","3","2","2","not randomised",0,0,0,0,0,0,"0","Asia","PanelEffects","DID",1,"0.442","52","Yes","After",0,"Macro",7,"high"
"23-004-1","Jorge","Islam, A; Eskander, S; Wang, LC","Unpublished Academic Paper",2023,"Non-Price Energy Conservation Information and Household Energy Consumption in a Developing Country: Evidence from an Rct","… on saving energy could reduce households’ energy consumption significantly. The effects … information about own electricity consumption relative to neighbors’ electricity consumption …",2023,"NA",NA,"27",1,"OLS regression","Log of electricity consumption (kWh)","Control-treatment",0.003,1,0.019,"robust standard errors",NA,"325.339","kWh consumption in the month of April",NA,NA,550,NA,NA,567,NA,2248,0,"uncertainty measures available",NA,0.1,"upper bound","t-test",0.157894736842105,NA,NA,NA,NA,"Test statistic is computed manually, it isn't reported, just the significance thresholds are given",NA,0,0,0,0,1,0,0,0,"State","Dhaka, Khulna, and Jessore in Bangladesh",NA,"Dhaka, Khulna, Jessore",NA,"Bangladesh","NA","No","yes","No","Probably Yes","Probably No","To find out households who have the potential to reduce electricity consumption, we located certain areas or neighborhoods in these cities with relatively better socio-economic condition.","4","4","Intervention lasts from april to november, measures taken every 2 months","no","Energy (kWh) and relative consumption (%)","bill","monthly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Comparison to immediate neighbours",NA,NA,NA,NA,NA,NA,"08/08/2023",NA,"23-004",-0.00333017527556705,NA,NA,-0.00666038748330943,-0.00333018758627166,0.000445027957271143,0.000361,0.000445027957271143,0.00358187010561693,0.00044543429844098,"Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","3","2","3","2","2","randomised",0,0,0,0,0,0,"0","Asia","OLS","Control-treatment",1,"325.339","4","Yes","After",1,"Macro",8,"high"
"23-004-10","Jorge","Islam, A; Eskander, S; Wang, LC","Unpublished Academic Paper",2023,"Non-Price Energy Conservation Information and Household Energy Consumption in a Developing Country: Evidence from an Rct","… on saving energy could reduce households’ energy consumption significantly. The effects … information about own electricity consumption relative to neighbors’ electricity consumption …",2023,"NA",NA,"27",10,"OLS regression","Log of electricity consumption (kWh)","Control-treatment",0.081,-1,0.017,"robust standard errors",NA,"325.339","kWh consumption in the month of April",NA,NA,550,NA,NA,567,NA,2248,0,"uncertainty measures available",NA,0.01,"lower bound","t-test",4.76470588235294,NA,NA,NA,NA,"Test statistic is computed manually, it isn't reported, just the significance thresholds are given",NA,0,0,0,0,1,0,0,0,"State","Dhaka, Khulna, and Jessore in Bangladesh",NA,"Dhaka, Khulna, Jessore",NA,"Bangladesh","NA","No","yes","No","Probably Yes","Probably No","To find out households who have the potential to reduce electricity consumption, we located certain areas or neighborhoods in these cities with relatively better socio-economic condition.","28","28","Intervention lasts from april to november, measures taken every 2 months","no","Energy (kWh) and relative consumption (%)","bill","monthly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Comparison to immediate neighbours",NA,NA,NA,NA,NA,NA,"08/08/2023",NA,"23-004",0.0999898658906574,NA,NA,0.200986986996338,0.10032511126747,0.0004361833613298,0.000289,0.0004361833613298,0.00359993250856251,0.00044543429844098,"Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","3","2","3","2","2","randomised",0,0,0,0,0,0,"0","Asia","OLS","Control-treatment",1,"325.339","28","Yes","After",1,"Macro",9,"high"
"23-004-11","Jorge","Islam, A; Eskander, S; Wang, LC","Unpublished Academic Paper",2023,"Non-Price Energy Conservation Information and Household Energy Consumption in a Developing Country: Evidence from an Rct","… on saving energy could reduce households’ energy consumption significantly. The effects … information about own electricity consumption relative to neighbors’ electricity consumption …",2023,"NA",NA,"27",11,"OLS regression","Log of electricity consumption (kWh)","Control-treatment",0.079,-1,0.016,"robust standard errors",NA,"319.40499999999997","kWh consumption in the month of April",NA,NA,550,NA,NA,568,NA,2248,0,"uncertainty measures available",NA,0.01,"lower bound","t-test",4.9375,NA,NA,NA,NA,"Test statistic is computed manually, it isn't reported, just the significance thresholds are given",NA,0,0,0,0,1,0,0,0,"State","Dhaka, Khulna, and Jessore in Bangladesh",NA,"Dhaka, Khulna, Jessore",NA,"Bangladesh","NA","No","yes","No","Probably Yes","Probably No","To find out households who have the potential to reduce electricity consumption, we located certain areas or neighborhoods in these cities with relatively better socio-economic condition.","28","28","Intervention lasts from april to november, measures taken every 2 months","no","Energy (kWh) and relative consumption (%)","bill","monthly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Comparison to suburb",NA,NA,NA,NA,NA,NA,"08/08/2023",NA,"23-004",0.103577812329296,NA,NA,0.208275866925989,0.103950621866533,0.000435539996156321,0.000256,0.000435539996156321,0.0035981453937872,0.00044543429844098,"Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","3","2","3","2","2","randomised",0,0,0,0,0,0,"0","Asia","OLS","Control-treatment",1,"319.40499999999997","28","Yes","After",1,"Macro",10,"high"
